"filename", "language", "Markdown", "Gradle", "Batch", "Java Properties", "HTML", "Java", "PostCSS", "comment", "blank", "total"
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/LocationProfile.java", "Java", 0, 0, 0, 0, 0, 56, 0, 0, 17, 73
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/MonetaryProfile.java", "Java", 0, 0, 0, 0, 0, 62, 0, 1, 10, 73
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/RiskLevelPolicy.java", "Java", 0, 0, 0, 0, 0, 35, 0, 0, 15, 50
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/RiskProfileId.java", "Java", 0, 0, 0, 0, 0, 9, 0, 0, 3, 12
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/VelocityProfile.java", "Java", 0, 0, 0, 0, 0, 64, 0, 0, 19, 83
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/deprecated/AverageAmount.java", "Java", 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/deprecated/AverageCurrencyTransaction.java", "Java", 0, 0, 0, 0, 0, 19, 0, 0, 7, 26
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/deprecated/AverageRiskScore.java", "Java", 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/deprecated/DailyTransactionCount.java", "Java", 0, 0, 0, 0, 0, 16, 0, 0, 4, 20
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/deprecated/TransactionActivity.java", "Java", 0, 0, 0, 0, 0, 4, 0, 30, 6, 40
"/run/media/atomic_dev25/SHARED/shared/C/Users/Administrator/Desktop/Projects/JAVA/sentinel.pay/sentinel.pay/src/main/java/com/github/sentinel/pay/domain/entity/accountRiskProfile/deprecated/UsualTransactionLocation.java", "Java", 0, 0, 0, 0, 0, 22, 0, 0, 4, 26
